heading,review
" My faith has been restored !","I love everything about Indian movies. Even if they sometimes come as unrealistic, but this movie is something different. I've had the misfortune of watching many movies that were either too unrealistic or too westernised which made them lose that special magical Indian touch.This movie had that touch. Kareena proved that she can indeed act without over-acting and the chemistry between her and Shaheed was incredible. Shaheed also proved that he can be taken as a serious actor.I loved the songs and the simplicity of the sets. there were no over-budgeted scenes of Indians living abroad. This movie was all in all Indian in its essence and that's what made it a big hit." 
" So Sweet!","I have grown up watching so many Hindi flicks, which invariably are love stories by the way. However, there is something different about this movie which sets it apart from the usual stuff. It is fresh and young - something which is missing these days. The songs too keep playing in your head long after you've listened to them. In short, it is not a drag.Both Shahid Kapur and Kareena seem to be at their peak in this movie. I don't know how to compare their roles in this movie to ones in their previous flicks, but I must admit that they make a good pair. Kareena's excessively talkative personality matches very nicely with Shahid's reserved character. There are no villains too. It is a pity that Shahid and Kareena will not be starring together in the foreseeable future...Enjoy! (8/10)" 
" Kareena Kapoor is incredible!","I am new to Indian movies. But I think I have just fallen in love with Kareena Kapoor. Honestly, I think this actress is more charismatic than any of the big Hollywood or European names I know right now. Wouldn't be surprised if the whole world will soon know about her. Tell me if you know any American or European actress who can even start to level with her in terms of style and beauty - and most of all - charm. None! Because of her, this movie is one of the most endearing love stories I have ever seen. It just makes you fall in love - what better can you say about a romance? And I am not usually interested in these kinds of movies, plus this is only about the 5th bollywood movie I have ever seen." 
" Lovely, simple and full of life","Imtiaz Ali's Jab We Met is one of the most refreshing love stories made in recent times. It is a very simple, interesting and charming film about a heart-broken and serious guy who meets an extremely vivacious and talkative girl who gradually manages to change his perception of life and love. And then, the story turns over in a rather interesting way. The film works better in the first half, as it is more alluring and funny. It later turns into a mini-drama but still in a natural way with a lot of comedy and fun. The music is great and each song contributes to the film's mood in its own way. The film stars Shahid Kapoor in a greatly restrained and impressive act as Aditya, but it is Kareena Kapoor's film all the way. Her comic timing is top-notch, and she is charming, convincing and full of life as the unforgettable Geet. Later on she also provides some superbly acted dramatic scenes, which she plays with unusual restraint and depth. Jab We Met is a very memorable picture, extremely entertaining and uplifting, and definitely a must-see for those who enjoy pleasant, comic and romantic flicks." 
" Now that's entertainment!","Imtiaz Ali's 'Jab We Met' is cinema at its best! One of the finest Romanctic love stories to come out of Indian Cinema. A simple story told in the most interesting and enjoyable manner. The film's first hour is enjoyable, the second is exactly the same. 'Jab We Met' holds your attention from almost start to end, leaving the viewer completely satisfied. The film was a success at the box office, and has remained to be a fan favorite. Thumbs up! Songs: The sound-track is a brownie point. Tum Se Hi and Mauja Hi Mauja are superb songs.Performances: Kareena Kapoor is outstanding. She got all the awards in the best actress category and she, without a doubt deserved them. Shahid Kapur is fantastic. He's natural from start to end. Pawan Malhotra and Dara Singh are good in supporting role. Samuya Tandon looks cute. Tarun Arora is adequate.On the whole, 'Jab We Met' is a pure example of entertaining cinema. As said before, its one the finest romantic films to come out of Indian Cinema in years." 
" Jab We Met is the BEST!","Jab We Met is definitely one of the best movies I've seen so far. Everything is very nice about this movie, totally perfect.My Reviews: Kareena Kapoor - She really impressed me with this movie. I love how the way she portrayed the lovable & talkative Geet to the sensitive & sad Geet on the second half. She is the life of the movie, no doubt.Shahid Kapoor - We all know that Shahid is a good actor, but in this movie, we saw something different. We are used to see Shahid in chocolate, college stories, but Jab We Met proved that he can do serious roles without any problems.Music: Mauja Hi Mauja would definitely my favorite. They saved the best for the last. Mauja Hi Mauja is the best song for the film. But for some reason, it reminded me of "Macarena" (a popular Spanglish song) and "Simarik" (a famous Turkish song).Story: It's really a very predictable story, but I can say it's refreshing. Why? Most Bollywood movies have heroines that are very "damsel-in-distress" and have no relevance in the story. Jab We Met, on the other hand, has a female for a lead. You can see a woman's pain when she's heartbroken, which I can say is very realistic and I can totally relate to it.Overall, 9/10 is my rating. Good movie, good actors, good story, good music. Very good. :)" 
" As fresh as it can be","If a director has courage and the guts to take an outdated story line and execute it to a perfection that is altogether to a new height; new level, the director seriously has got some talent. If you ask me a good/talented director is all you need to get the best out of everything; be it a story line, situation or performers. Same situation same actors has brought such a new , absolute fresh piece of cinema, which probably would have been another needle in the hack had it been directed by any run of the mill director. The store line is the usual girl meets boy on a journey moving towards their own destinations and eventually fall in love but again the execution is so damn superb and realistic that no situation in the movie looks out of place. The dialogs are sparkling despite being mature. The funny moments are truly funny and emotions look absolute real. U immediately relate to them. Over all the chemistry Imtiaz Ali (who directed soocha na tha) manages to built between the lead characters is stunning, absolute real, natural and believable, I have not seen (and I am sure people would agree) such a sweet and heart warming chemistry in any romantic couple for a loooong time. Music is good as well with 2 absolutely amazing romantic songs........"Tum he se" and "Aaoge jab tum". People specially couples whose heart throb with a universal feeling called love go and watch the movie, you would come out mesmerized by the romantic extravaganza.......trust me." 
" A movie thats much more than a movie","Movies are as much a part of my life as Dal- chawal (rice and pulses) but I can't remember having been as insanely in love with any other bollywood/Hollywood/Tollywood movie as this one and if at all, this love affair has only intensified over the years. That doesn't mean, there haven't been better movies, or the actors in Jab We Met haven't given better performances elsewhere. It only means, somewhere in those 2.5 hours, Jab We Met metamorphoses into something far more substantial than just a movie. On the surface, its a simple story of a guy and a girl but if u dive deep enough, it is a heartwarming assortment of stories, about losing and finding love, about internal and external journeys, about forgetting and rediscovering oneself, about letting go with a smile and above all about finding hope in despair. I won't go into the details of the plot, screenplay, acting,direction or any such technical aspect. You will find plenty of people telling you about that. I can only tell you how i can speak every single dialog, having repeated them a million times in my head, or how I can hum those songs which cheer me every time I feel alone. One little thing though, I can't articulate is how Aditya and Geet stay in my heart permanently and keep telling me once in a while.... "Go listen to your heart, everything will be fine then."" 
" Excellent Movie, Great Plot, direction and songs.","So i basically made an IMDb account just because i wanted to comment on this movie. Its great, a very good mix of business and life (im a business student) and it teaches so much about life. I recommend this movie to everyone. The plot is excellent, a bit predictable just like any Hindi movie , but the way the story goes is great. The humor is great, although some of my friends complained of it being a bit dry, but you need an open mind to enjoy it and look beyond the obvious. The songs are beautiful, has an ending item song which is a great dance mix. Has soft songs (atif aslam style), a punjabi song (bhangra style) and pretty much its a complete movie for everyone. A great Family Movie and A Great Date Movie." 
" One of the best romcoms of the 2000s","2000s, especially the later half, saw emergence of the romcom genre in Bollywood. Towards the end of 2000s, we were almost inundated with many of these to the point that most viewers were tired of it. So when I saw this one a couple of years ago, my expectations were minimal to zero. I watched it while working on computer, something in the background. I did not care to watch it until it came out on DVDs. However, it turned out to be the best romcom I have seen to date. It works primarily because of these three ingredients: - Genuine storyline, quite realistic without going too OTT - Charming and very likable character played by Kareena - Music by Pritam, the recycling king/Bhappi Lahri of the 2000sToo bad Imitiaz Ali could not follow it up with as good a movie. Love Aaj Kal, while pretty good, does not come close to this. I have watched it 3 times since my first viewing. Highly recommend!" 
